objectID,sourceMuseum,sourceObjectID,title,objectName,department,culture,period,dynasty,objectDate,medium,creditLine,accessionYear,excavation,geographyType,country,region,subregion,primaryImage,objectURL,objectWikidata_URL
met:307726,met,307726,Spindle Whorl,Spindle whorl,The Michael C. Rockefeller Wing,Mexican,,,10th–early 16th century,Ceramic,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/00.5.927.jpg,https://www.metmuseum.org/art/collection/search/307726,
met:307730,met,307730,Necklace of stone beads,Necklace,The Michael C. Rockefeller Wing,Guerrero,,,10th–early 16th century,Stone,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/vs00_5_955.jpg,https://www.metmuseum.org/art/collection/search/307730,
met:307734,met,307734,Disk,Disk,The Michael C. Rockefeller Wing,Classic Veracruz,,,600–900 CE,"Slate, cinnabar","Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/DT11605.jpg,https://www.metmuseum.org/art/collection/search/307734,
met:307738,met,307738,Mold for Female Figure,Mold,The Michael C. Rockefeller Wing,Toltec (?),,,10th–13th century,Ceramic,"Museum Purchase, 1900",1900,,,Mexico,Mesoamerica,,https://images.metmuseum.org/CRDImages/ao/original/00.5.1148_b.jpg,https://www.metmuseum.org/art/collection/search/307738,
met:309028,met,309028,Hammered Copper Half Dome,Dome,The Michael C. Rockefeller Wing,Peru; north coast (?),,,8th–mid-16th century,"Copper (hammered), gilt","Gift of Mr. and Mrs. Nathan Cummings, 1964",1964,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_517.JPG,https://www.metmuseum.org/art/collection/search/309028,
met:309032,met,309032,Hammered Silver Miniature Crown,Crown,The Michael C. Rockefeller Wing,Peru; north or central coast (?),,,11th–mid-16th century,"Silver (hammered), gilt","Gift of Mr. and Mrs. Nathan Cummings, 1964",1964,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_521.jpg,https://www.metmuseum.org/art/collection/search/309032,
met:309036,met,309036,Hammered Silver Miniature Crown,Crown,The Michael C. Rockefeller Wing,Peru; north or central coast (?),,,11th–mid-16th century,"Silver (hammered), gilt","Gift of Mr. and Mrs. Nathan Cummings, 1964",1964,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_525.JPG,https://www.metmuseum.org/art/collection/search/309036,
met:309040,met,309040,Hammered Silver Miniature Crown,Crown,The Michael C. Rockefeller Wing,Peru; north or central coast (?),,,11th–mid-16th century,"Silver (hammered), gilt","Gift of Mr. and Mrs. Nathan Cummings, 1964",1964,,,Peru,,,https://images.metmuseum.org/CRDImages/ao/original/vs64_228_527_9.JPG,https://www.metmuseum.org/art/collection/search/309040,
met:311551,met,311551,Spear,Spear,The Michael C. Rockefeller Wing,Asmat people,,,mid-20th century,"Wood, cassowary claw, fiber, paint","The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",1978,,,Indonesia,,,,https://www.metmuseum.org/art/collection/search/311551,
met:311555,met,311555,Spear,Spear,The Michael C. Rockefeller Wing,Asmat people,,,mid-20th century,"Wood, fiber, bamboo","The Michael C. Rockefeller Memorial Collection; Gift of Nelson A. Rockefeller and Mrs. Mary C. Rockefeller, 1965",1978,,,Indonesia,,,,https://www.metmuseum.org/art/collection/search/311555,
