objectID,origin_label,origin_label_en,origin_precision,origin_lat,origin_lon,origin_country,origin_country_en,museum_lat,museum_lon
louvre:cl010008001,,,unresolved,,,,,48.8606,2.3376
louvre:cl010008106,Karnak,Karnak,site,25.7188,32.6573,Egipto,Egypt,48.8606,2.3376
louvre:cl010008108,,,unresolved,,,,,48.8606,2.3376
louvre:cl010008248,Amarna,Amarna,site,27.6453,30.9017,Egipto,Egypt,48.8606,2.3376
louvre:cl010008693,Giza,Giza,site,29.9765,31.1313,Egipto,Egypt,48.8606,2.3376
louvre:cl010008923,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010009174,,,unresolved,,,,,48.8606,2.3376
louvre:cl010009270,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010009338,Roma,Rome,site,41.9028,12.4964,Italia,Italy,48.8606,2.3376
louvre:cl010009461,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010009464,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010009969,Tebas,Thebes,site,25.7188,32.6081,Egipto,Egypt,48.8606,2.3376
louvre:cl010010049,Asiut,Asyut,site,27.1809,31.1837,Egipto,Egypt,48.8606,2.3376
louvre:cl010010056,,,unresolved,,,,,48.8606,2.3376
louvre:cl010010062,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010010873,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010011417,,,unresolved,,,,,48.8606,2.3376
louvre:cl010011420,Amarna,Amarna,site,27.6453,30.9017,Egipto,Egypt,48.8606,2.3376
louvre:cl010016137,,,unresolved,,,,,48.8606,2.3376
louvre:cl010017961,,,unresolved,,,,,48.8606,2.3376
louvre:cl010019286,Saqqara,Saqqara,site,29.8714,31.2164,Egipto,Egypt,48.8606,2.3376
louvre:cl010022054,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
louvre:cl010022918,Egipto,Egypt,country,26.8206,30.8025,Egipto,Egypt,48.8606,2.3376
